Tub,Replicate,Species,Weight (g),Notes
2 HWO,4,DISP,NA,
2 HWO,4,MUAS,4,
2 HWO,4,PUNU,48.8,
2 HWO,4,BOMA,NA,
2 LW,4,PHAU,12.2,
2 LW,4,EUMA,6.1,
2 LW,4,SOCA,4.5,
2 LW,4,EUOC,1.8,
2 LW,4,SCAC,NA,
2 LW,4,SCAM,NA,
2 LW,4,DISP,NA,
2 LW,4,MUAS,0.9,
2 LW,4,PUNU,28,
2 LW,4,BOMA,NA,
2 LWO,4,PHAU ,NA,
2 LWO,4,EUMA,0.7,
2 LWO,4,SOCA,4,
2 LWO,4,EUOC,0.9,
2 LWO,4,SCAC,0.1,
2 LWO,4,SCAM,NA,
2 LWO,4,DISP,NA,
2 LWO,4,MUAS,0.6,
2 LWO,4,PUNU,8.1,
2 LWO,4,BOMA,NA,
3 HW,4,PHAU,7.2,
3 HW,4,EUMA,33.9,
3 HW,4,SOCA,17.7,
3 HW,4,EUOC,3,
3 HW,4,SCAC,NA,
3 HW,4,SCAM,NA,
3 HW,4,DISP,NA,
3 HW,4,MUAS,1.8,
3 HW,4,PUNU,35.2,
3 HW,4,BOMA,NA,
3 HWO,4,PHAU ,NA,
3 HWO,4,EUMA,10.1,
3 HWO,4,SOCA,6.3,
3 HWO,4,EUOC,13.3,
3 HWO,4,SCAC,T,
3 HWO,4,SCAM,NA,
3 HWO,4,DISP,NA,
3 HWO,4,MUAS,3.3,
3 HWO,4,PUNU,45.4,
3 HWO,4,BOMA,NA,
3 LW,4,PHAU,2.8,
3 LW,4,EUMA,1.5,
3 LW,4,SOCA,3.1,
3 LW,4,EUOC,2.1,
3 LW,4,SCAC,0.1,
3 LW,4,SCAM,NA,
3 LW,4,DISP,NA,
3 LW,4,MUAS,0.6,
3 LW,4,PUNU,22.7,
3 LW,4,BOMA,NA,
3 LWO,4,PHAU ,NA,
3 LWO,4,EUMA,3.3,
3 LWO,4,SOCA,4.7,
3 LWO,4,EUOC,9.5,
3 LWO,4,SCAC,NA,
3 LWO,4,SCAM,NA,
3 LWO,4,DISP,NA,
3 LWO,4,MUAS,1,
3 LWO,4,PUNU,22.8,
3 LWO,4,BOMA,NA,
4 HW,4,PHAU,0.6,
4 HW,4,EUMA,23.6,
4 HW,4,SOCA,10.4,
4 HW,4,EUOC,1.7,
4 HW,4,SCAC,NA,
4 HW,4,SCAM,NA,
4 HW,4,DISP,NA,
4 HW,4,MUAS,0.2,
4 HW,4,PUNU,7.1,
4 HW,4,BOMA,NA,
4 HWO,4,PHAU ,NA,
4 HWO,4,EUMA,11.2,
4 HWO,4,SOCA,7.6,
4 HWO,4,EUOC,7.5,
4 HWO,4,SCAC,NA,
4 HWO,4,SCAM,NA,
4 HWO,4,DISP,NA,
4 HWO,4,MUAS,1.1,
4 HWO,4,PUNU,60.9,
4 HWO,4,BOMA,NA,
4 LW,4,PHAU,1.8,
4 LW,4,EUMA,4.6,
4 LW,4,SOCA,4.3,
4 LW,4,EUOC,8.6,
4 LW,4,SCAC,NA,
4 LW,4,SCAM,T,
4 LW,4,DISP,NA,
4 LW,4,MUAS,1.5,
4 LW,4,PUNU,16.8,
4 LW,4,BOMA,NA,
4 LWO,4,PHAU ,NA,
4 LWO,4,EUMA,2.2,
4 LWO,4,SOCA,5,
4 LWO,4,EUOC,7,
4 LWO,4,SCAC,NA,
4 LWO,4,SCAM,NA,
4 LWO,4,DISP,NA,
4 LWO,4,MUAS,1.7,
4 LWO,4,PUNU,17.1,
4 LWO,4,BOMA,NA,
PHAU,4,PHAU,25.6,
